id,relative_timestamp,interrogator_timestamp,rssi,epc96,doppler,phase,antenna,rospecid,channelindex,tagseencount,accessspecid,inventoryparameterspecid,lastseentimestamp,antennastate,time (seconds),doppler (),interrogation frequency (Hz),phase (radians),prxval (),prx deoscillated moving parts (),prx moving parts (),prx linear (),wavelength ()
2,15411,1.69687E+15,-53,e280116060000209e4454a0a,761,1656,1,1,39,1,0,1,1.69687E+15,0,0.015411,47.5625,921750000,2.540272185,31.7023561,31.59654792,1444291.29,0.005011872,0.325242699
3,29620,1.69687E+15,-38,e280116060000209e445ba0a,312,3380,1,1,39,1,0,1,1.69687E+15,0,0.02962,19.5,921750000,5.184855063,16.7023561,16.59654792,45672.50082,0.158489319,0.325242699
4,44596,1.69687E+15,-55,e280116060000209e4454c2a,429,1104,1,1,39,1,0,1,1.69687E+15,0,0.044596,26.8125,921750000,1.69351479,33.7023561,33.59654792,2289047.434,0.003162278,0.325242699
5,74849,1.69687E+15,-37,e280116060000209e445ba0a,156,1600,1,1,40,1,0,1,1.69687E+15,0,0.074849,9.75,922250000,2.454369261,15.70215788,15.60596863,36357.73859,0.199526231,0.325066368
6,102444,1.69687E+15,-36,e280116060000209e445ba0a,-2304,1600,1,1,40,1,0,1,1.69687E+15,0,0.102444,-144,922250000,2.454369261,14.70215788,14.60596863,28879.97831,0.251188643,0.325066368
7,114982,1.69687E+15,-38,e280116060000209e445ba0a,-312,1568,1,1,40,1,0,1,1.69687E+15,0,0.114982,-19.5,922250000,2.405281875,16.70215788,16.60596863,45771.68103,0.158489319,0.325066368
8,134202,1.69687E+15,-37,e280116060000209e445ba0a,429,1564,1,1,40,1,0,1,1.69687E+15,0,0.134202,26.8125,922250000,2.399145952,15.70215788,15.60596863,36357.73859,0.199526231,0.325066368
9,169351,1.69687E+15,-37,e280116060000209e445ba0a,-156,1572,1,1,40,1,0,1,1.69687E+15,0,0.169351,-9.75,922250000,2.411417799,15.70215788,15.60596863,36357.73859,0.199526231,0.325066368
10,188497,1.69687E+15,-37,e280116060000209e445ba0a,-117,1596,1,1,40,1,0,1,1.69687E+15,0,0.188497,-7.3125,922250000,2.448233337,15.70215788,15.60596863,36357.73859,0.199526231,0.325066368
11,205012,1.69687E+15,-37,e280116060000209e445ba0a,273,1540,1,1,40,1,0,1,1.69687E+15,0,0.205012,17.0625,922250000,2.362330413,15.70215788,15.60596863,36357.73859,0.199526231,0.325066368
12,230647,1.69687E+15,-37,e280116060000209e445ba0a,78,1576,1,1,40,1,0,1,1.69687E+15,0,0.230647,4.875,922250000,2.417553722,15.70215788,15.60596863,36357.73859,0.199526231,0.325066368
13,275934,1.69687E+15,-52,e280116060000209e4454a0a,117,1500,1,1,41,1,0,1,1.69687E+15,0,0.275934,7.3125,922750000,2.300971182,30.70195456,30.61538423,1152227.995,0.006309573,0.324890228
14,300088,1.69687E+15,-53,e280116060000209e4454a0a,-1015,1604,1,1,41,1,0,1,1.69687E+15,0,0.300088,-63.4375,922750000,2.460505184,31.70195456,31.61538423,1450569.102,0.005011872,0.324890228
